Elite = mu=60.812, sigma=1.594
Vakaeltraz = mu=58.046, sigma=1.273
Oleas = mu=56.247, sigma=4.235
Lu_K = mu=53.820, sigma=3.335
J_sk8 = mu=54.004, sigma=1.226
Ether-Zero = mu=52.986, sigma=4.335
Melwin = mu=52.741, sigma=1.449
Thaumas = mu=51.464, sigma=2.719
Camou = mu=50.053, sigma=4.679
Tomwilson = mu=49.867, sigma=4.522
Clem = mu=48.739, sigma=1.368
JeanCube = mu=45.816, sigma=3.812
Daytona_69 = mu=45.619, sigma=2.056
Brook1l = mu=43.382, sigma=2.539
Hardox = mu=40.936, sigma=2.108
Kemoory = mu=39.914, sigma=2.369
Fozlo = mu=36.466, sigma=2.307
