Rosalyan = mu=66.659, sigma=3.483
Elite = mu=60.001, sigma=1.285
Vakaeltraz = mu=55.932, sigma=1.040
J_sk8 = mu=54.617, sigma=1.092
Lu_K = mu=53.763, sigma=1.641
Melwin = mu=51.270, sigma=1.246
Clem = mu=50.237, sigma=1.143
JeanCube = mu=52.287, sigma=2.284
Oleas = mu=56.247, sigma=4.235
Thaumas = mu=51.464, sigma=2.719
Daytona_69 = mu=46.887, sigma=1.836
Ether-Zero = mu=52.986, sigma=4.335
Rayou = mu=54.347, sigma=5.406
Tomwilson = mu=49.867, sigma=4.522
Brook1l = mu=43.498, sigma=2.413
Hardox = mu=40.936, sigma=2.108
Camou = mu=44.526, sigma=3.567
Kemoory = mu=40.491, sigma=2.254
Fozlo = mu=37.814, sigma=2.073
Mirijason = mu=39.097, sigma=5.607
Tomy = mu=35.993, sigma=4.691
