19/06/25
Rosalyan = mu=67.897, sigma=3.002
Elite = mu=58.049, sigma=1.165
Vakaeltraz = mu=56.141, sigma=0.968
J_sk8 = mu=55.450, sigma=1.037
Lu_K = mu=53.481, sigma=1.456
Melwin = mu=51.664, sigma=1.144
Clem = mu=50.484, sigma=1.067
JeanCube = mu=51.949, sigma=2.084
Rayou = mu=54.969, sigma=3.623
Oleas = mu=56.247, sigma=4.235
Thaumas = mu=51.464, sigma=2.719
Daytona_69 = mu=47.395, sigma=1.733
Ether-Zero = mu=52.986, sigma=4.335
Tomwilson = mu=49.867, sigma=4.522
Brook1l = mu=43.498, sigma=2.413
Hardox = mu=40.936, sigma=2.108
Kemoory = mu=40.491, sigma=2.254
Camou = mu=42.971, sigma=3.181
